"","set.GOID","set.GOTERM","p_adjust","total","interest","set_total","set_interest"
"88","GO:1902074","response to salt",0.216388317000255,14771,28,59,1
"182","GO:0000976","transcription cis-regulatory region binding",0.218123007761125,14771,288,59,3
"241","GO:0004712","protein serine/threonine/tyrosine kinase activity",0.220215741827618,14771,29,59,1
"195","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",0.224805410776106,14771,144,59,2
"22","GO:0015031","protein transport",0.227938838073508,14771,466,59,4
"86","GO:0050896","response to stimulus",0.23323371253435,14771,150,59,2
"188","GO:0046872","metal ion binding",0.23323371253435,14771,2523,59,14
"220","GO:0035091","phosphatidylinositol binding",0.23323371253435,14771,32,59,1
"76","GO:1990961","xenobiotic detoxification by transmembrane export across the plasma membrane",0.23761168092224,14771,33,59,1
"61","GO:0008299","isoprenoid biosynthetic process",0.240360703211015,14771,35,59,1
"175","GO:0004674","protein serine/threonine kinase activity",0.240360703211015,14771,670,59,5
"192","GO:0004497","monooxygenase activity",0.240360703211015,14771,156,59,2
"201","GO:0004185","serine-type carboxypeptidase activity",0.240360703211015,14771,35,59,1
"236","GO:0031418","L-ascorbic acid binding",0.240360703211015,14771,35,59,1
"255","GO:0003746","translation elongation factor activity",0.240360703211015,14771,34,59,1
"2","GO:0007165","signal transduction",0.249368835409471,14771,162,59,2
"148","GO:0042995","cell projection",0.249579689058766,14771,37,59,1
"114","GO:0045489","pectin biosynthetic process",0.252304178925613,14771,38,59,1
"121","GO:0006414","translational elongation",0.252304178925613,14771,38,59,1
"80","GO:0006979","response to oxidative stress",0.255330193580984,14771,168,59,2
"231","GO:0042910","xenobiotic transmembrane transporter activity",0.255330193580984,14771,39,59,1
"16","GO:0009793","embryo development ending in seed dormancy",0.256692940711416,14771,170,59,2
"191","GO:0042803","protein homodimerization activity",0.256692940711416,14771,170,59,2
"131","GO:0005576","extracellular region",0.264124650141119,14771,710,59,5
"200","GO:0004180","carboxypeptidase activity",0.265734309801564,14771,42,59,1
"91","GO:0009740","gibberellic acid mediated signaling pathway",0.269754115155533,14771,43,59,1
"14","GO:0006897","endocytosis",0.271921542460386,14771,44,59,1
"109","GO:0009624","response to nematode",0.271921542460386,14771,44,59,1
"68","GO:0009834","plant-type secondary cell wall biogenesis",0.274011347751547,14771,45,59,1
"189","GO:0005085","guanyl-nucleotide exchange factor activity",0.274011347751547,14771,45,59,1
"221","GO:0043130","ubiquitin binding",0.288756849069627,14771,48,59,1
"17","GO:0009826","unidimensional cell growth",0.292032943054096,14771,51,59,1
"23","GO:0016192","vesicle-mediated transport",0.292032943054096,14771,194,59,2
"50","GO:0008654","phospholipid biosynthetic process",0.292032943054096,14771,51,59,1
"156","GO:0005575","cellular_component",0.292032943054096,14771,196,59,2
"177","GO:0005515","protein binding",0.292032943054096,14771,2252,59,12
"202","GO:0008233","peptidase activity",0.292032943054096,14771,371,59,3
"242","GO:0004713","protein tyrosine kinase activity",0.292032943054096,14771,51,59,1
"222","GO:0004843","cysteine-type deubiquitinase activity",0.295391212290448,14771,52,59,1
"101","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport",0.297327108334148,14771,53,59,1
"112","GO:0009739","response to gibberellin",0.297327108334148,14771,54,59,1
"127","GO:0005886","plasma membrane",0.297327108334148,14771,1623,59,9
"181","GO:0106310","protein serine kinase activity",0.297327108334148,14771,573,59,4
"193","GO:0005506","iron ion binding",0.297327108334148,14771,203,59,2
"158","GO:0000785","chromatin",0.301103618891452,14771,56,59,1
"159","GO:0009527","plastid outer membrane",0.301103618891452,14771,56,59,1
"172","GO:0030247","polysaccharide binding",0.301103618891452,14771,56,59,1
"240","GO:0004190","aspartic-type endopeptidase activity",0.304140982286373,14771,57,59,1
"4","GO:0016310","phosphorylation",0.314506534774559,14771,1009,59,6
"179","GO:0016301","kinase activity",0.314506534774559,14771,1009,59,6
"258","GO:0003755","peptidyl-prolyl cis-trans isomerase activity",0.317550142380006,14771,61,59,1
"44","GO:0006096","glycolytic process",0.3185461199859,14771,62,59,1
"174","GO:0004672","protein kinase activity",0.3185461199859,14771,808,59,5
"251","GO:0140825","lactoperoxidase activity",0.321277380343488,14771,63,59,1
"160","GO:0009707","chloroplast outer membrane",0.326597264979701,14771,65,59,1
"248","GO:0016791","phosphatase activity",0.326597264979701,14771,65,59,1
"77","GO:0051028","mRNA transport",0.346515701265141,14771,70,59,1
"254","GO:0140359","ABC-type transporter activity",0.348898540738181,14771,71,59,1
"208","GO:0016829","lyase activity",0.354620700418359,14771,243,59,2
"37","GO:0009742","brassinosteroid mediated signaling pathway",0.357707910215282,14771,74,59,1
"223","GO:0008234","cysteine-type peptidase activity",0.364042273395665,14771,76,59,1
"243","GO:0043621","protein self-association",0.38233265165643,14771,81,59,1
"5","GO:0035556","intracellular signal transduction",0.384063608604395,14771,84,59,1
"38","GO:0045087","innate immune response",0.384063608604395,14771,82,59,1
"98","GO:0042744","hydrogen peroxide catabolic process",0.384063608604395,14771,83,59,1
"128","GO:0009506","plasmodesma",0.384063608604395,14771,265,59,2
"185","GO:0016787","hydrolase activity",0.384063608604395,14771,1793,59,9
"143","GO:0005794","Golgi apparatus",0.39022672020861,14771,685,59,4
"136","GO:0005768","endosome",0.391636831421078,14771,271,59,2
"186","GO:0016798","hydrolase activity, acting on glycosyl bonds",0.409663510574939,14771,282,59,2
"257","GO:0019843","rRNA binding",0.409663510574939,14771,93,59,1
"203","GO:0016747","acyltransferase activity, transferring groups other than amino-acyl groups",0.411214116789823,14771,94,59,1
"238","GO:0051213","dioxygenase activity",0.419866817746272,14771,97,59,1
"139","GO:0012505","endomembrane system",0.428307022457021,14771,100,59,1
"190","GO:0042802","identical protein binding",0.436539357688009,14771,103,59,1
"147","GO:0009570","chloroplast stroma",0.440072504717557,14771,305,59,2
"250","GO:0004601","peroxidase activity",0.440072504717557,14771,105,59,1
"204","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",0.443546650105619,14771,107,59,1
"71","GO:0045892","negative regulation of DNA-templated transcription",0.45256067155886,14771,111,59,1
"232","GO:0003676","nucleic acid binding",0.45256067155886,14771,534,59,3
"1","GO:0009408","response to heat",0.459776297447845,14771,114,59,1
"74","GO:0006486","protein glycosylation",0.465694896534962,14771,118,59,1
"120","GO:0006412","translation",0.465694896534962,14771,327,59,2
"230","GO:0015297","antiporter activity",0.465694896534962,14771,117,59,1
"81","GO:0009409","response to cold",0.488647232633709,14771,131,59,1
"99","GO:0098869","cellular oxidant detoxification",0.488647232633709,14771,129,59,1
"111","GO:0009733","response to auxin",0.488647232633709,14771,129,59,1
"130","GO:0098552","side of membrane",0.488647232633709,14771,130,59,1
"163","GO:1990904","ribonucleoprotein complex",0.488647232633709,14771,344,59,2
"224","GO:0004721","phosphoprotein phosphatase activity",0.488647232633709,14771,131,59,1
"229","GO:0008270","zinc ion binding",0.488647232633709,14771,578,59,3
"167","GO:0031410","cytoplasmic vesicle",0.489233490590681,14771,132,59,1
"100","GO:0006886","intracellular protein transport",0.489803242116135,14771,133,59,1
"106","GO:0008150","biological_process",0.491828123903246,14771,356,59,2
"239","GO:0003674","molecular_function",0.500938700037463,14771,596,59,3
"11","GO:0008152","metabolic process",0.505149895282283,14771,367,59,2
"154","GO:0000139","Golgi membrane",0.515588601058231,14771,375,59,2
"39","GO:0050832","defense response to fungus",0.521279197795095,14771,149,59,1
"82","GO:0009414","response to water deprivation",0.529104768059585,14771,153,59,1
"132","GO:0005634","nucleus",0.542927533872425,14771,3845,59,16
"95","GO:0006364","rRNA processing",0.553593914845646,14771,165,59,1
"123","GO:0005743","mitochondrial inner membrane",0.553593914845646,14771,166,59,1
"183","GO:0003824","catalytic activity",0.554648025434065,14771,410,59,2
"83","GO:0009651","response to salt stress",0.567179959410031,14771,174,59,1
"146","GO:0009536","plastid",0.571195564529006,14771,1426,59,6
"161","GO:0009941","chloroplast envelope",0.571195564529006,14771,178,59,1
"124","GO:0016020","membrane",0.59190830427616,14771,5225,59,21
"194","GO:0016491","oxidoreductase activity",0.59190830427616,14771,957,59,4
"234","GO:0003729","mRNA binding",0.59190830427616,14771,444,59,2
"9","GO:0005975","carbohydrate metabolic process",0.5932217490865,14771,450,59,2
"43","GO:0006357","regulation of transcription by RNA polymerase II",0.600706986179291,14771,198,59,1
"256","GO:0003735","structural constituent of ribosome",0.609969274571526,14771,204,59,1
"36","GO:0006952","defense response",0.632824935123763,14771,752,59,3
"140","GO:0043231","intracellular membrane-bounded organelle",0.640988304137227,14771,225,59,1
"259","GO:0016853","isomerase activity",0.640988304137227,14771,224,59,1
"225","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds",0.653857153598313,14771,234,59,1
"134","GO:0005773","vacuole",0.661164254704091,14771,240,59,1
"168","GO:0005840","ribosome",0.66977294270989,14771,247,59,1
"178","GO:0005524","ATP binding",0.699978384282809,14771,1923,59,7
"75","GO:0055085","transmembrane transport",0.720356310011255,14771,585,59,2
"249","GO:0043565","sequence-specific DNA binding",0.725175358781538,14771,291,59,1
"173","GO:0000166","nucleotide binding",0.734741379165268,14771,2000,59,7
"30","GO:0071555","cell wall organization",0.762116804670073,14771,326,59,1
"233","GO:0003723","RNA binding",0.768447605311196,14771,952,59,3
"141","GO:0005783","endoplasmic reticulum",0.825413003102629,14771,736,59,2
"142","GO:0005789","endoplasmic reticulum membrane",0.837692384777472,14771,420,59,1
"180","GO:0016740","transferase activity",0.837692384777472,14771,2537,59,8
"253","GO:0016887","ATP hydrolysis activity",0.854599192398607,14771,448,59,1
"226","GO:0016757","glycosyltransferase activity",0.85659052702919,14771,456,59,1
"122","GO:0005739","mitochondrion",0.911934541394305,14771,953,59,2
"135","GO:0005737","cytoplasm",0.938548625473339,14771,2691,59,7
"145","GO:0009507","chloroplast",0.941050067161354,14771,1447,59,3
"137","GO:0005829","cytosol",0.990468910748363,14771,1118,59,1
