"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"56","GO:0006511","ubiquitin-dependent protein catabolic pr...",121,3,2.82,0.5388,"BP"
"57","GO:0035556","intracellular signal transduction",179,5,4.17,0.6021,"BP"
"58","GO:0009742","brassinosteroid mediated signaling pathw...",52,2,1.21,0.6092,"BP"
"59","GO:0045893","positive regulation of DNA-templated tra...",137,3,3.19,0.6239,"BP"
"60","GO:0048364","root development",141,5,3.28,0.7018,"BP"
"61","GO:0006364","rRNA processing",72,2,1.68,0.7062,"BP"
"62","GO:0004014","adenosylmethionine decarboxylase activit...",3,2,0.07,0.0017,"MF"
"63","GO:0003735","structural constituent of ribosome",114,8,2.73,0.0056,"MF"
"64","GO:0043565","sequence-specific DNA binding",352,11,8.41,0.0099,"MF"
"65","GO:0020037","heme binding",109,7,2.61,0.015,"MF"
"66","GO:0017018","myosin phosphatase activity",64,5,1.53,0.0178,"MF"
"67","GO:0140825","lactoperoxidase activity",31,3,0.74,0.0368,"MF"
"68","GO:0043021","ribonucleoprotein complex binding",26,2,0.62,0.0919,"MF"
"69","GO:0005507","copper ion binding",27,2,0.65,0.1353,"MF"
"70","GO:0003729","mRNA binding",191,8,4.57,0.158,"MF"
"71","GO:0106310","protein serine kinase activity",259,9,6.19,0.1656,"MF"
"72","GO:0005506","iron ion binding",93,4,2.22,0.1819,"MF"
"73","GO:0140359","ABC-type transporter activity",33,2,0.79,0.186,"MF"
"74","GO:0005096","GTPase activator activity",34,2,0.81,0.1947,"MF"
"75","GO:0004721","phosphoprotein phosphatase activity",76,6,1.82,0.2098,"MF"
"76","GO:0030170","pyridoxal phosphate binding",36,2,0.86,0.2123,"MF"
"77","GO:0016705","oxidoreductase activity, acting on paire...",108,6,2.58,0.2144,"MF"
"78","GO:0051119","sugar transmembrane transporter activity",29,2,0.69,0.2512,"MF"
"79","GO:0005516","calmodulin binding",78,3,1.86,0.2859,"MF"
"80","GO:0003700","DNA-binding transcription factor activit...",471,13,11.26,0.2931,"MF"
"81","GO:0004497","monooxygenase activity",86,5,2.06,0.3464,"MF"
"82","GO:0004674","protein serine/threonine kinase activity",297,9,7.1,0.3489,"MF"
"83","GO:0019900","kinase binding",43,2,1.03,0.3831,"MF"
"84","GO:0046872","metal ion binding",1197,30,28.61,0.4309,"MF"
"85","GO:0030247","polysaccharide binding",27,2,0.65,0.4388,"MF"
"86","GO:0016298","lipase activity",31,2,0.74,0.4653,"MF"
"87","GO:0015293","symporter activity",38,2,0.91,0.4658,"MF"
"88","GO:0061630","ubiquitin protein ligase activity",68,2,1.63,0.487,"MF"
"89","GO:0042803","protein homodimerization activity",85,2,2.03,0.6081,"MF"
"90","GO:0003676","nucleic acid binding",1316,32,31.46,0.618,"MF"
"91","GO:0005515","protein binding",1493,33,35.69,0.6406,"MF"
"92","GO:0005509","calcium ion binding",95,2,2.27,0.6687,"MF"
"93","GO:0015267","channel activity",55,2,1.31,0.6707,"MF"
"94","GO:0008194","UDP-glycosyltransferase activity",102,3,2.44,0.7083,"MF"
"95","GO:0016787","hydrolase activity",937,20,22.4,0.7166,"MF"
"96","GO:0008289","lipid binding",122,3,2.92,0.7166,"MF"
"97","GO:0005524","ATP binding",836,18,19.98,0.7244,"MF"
"98","GO:0016740","transferase activity",1239,26,29.62,0.7435,"MF"
"99","GO:0016874","ligase activity",89,3,2.13,0.7805,"MF"
"100","GO:0016887","ATP hydrolysis activity",182,3,4.35,0.8173,"MF"
"101","GO:0004672","protein kinase activity",375,10,8.96,0.8224,"MF"
"102","GO:0016788","hydrolase activity, acting on ester bond...",270,10,6.45,0.8399,"MF"
"103","GO:0003677","DNA binding",813,19,19.43,0.8934,"MF"
"104","GO:0003723","RNA binding",460,12,11,0.9174,"MF"
"105","GO:0008270","zinc ion binding",175,2,4.18,0.9267,"MF"
"106","GO:0046983","protein dimerization activity",209,3,5,0.952,"MF"
"107","GO:0000976","transcription cis-regulatory region bind...",226,3,5.4,0.9731,"MF"
"108","GO:0016209","antioxidant activity",64,3,1.53,1,"MF"
"109","GO:0003824","catalytic activity",2784,65,66.55,1,"MF"
"110","GO:0042578","phosphoric ester hydrolase activity",144,7,3.44,1,"MF"
"111","GO:1901702","salt transmembrane transporter activity",82,4,1.96,1,"MF"
"112","GO:0005198","structural molecule activity",164,9,3.92,1,"MF"
"113","GO:0140096","catalytic activity, acting on a protein",890,21,21.27,1,"MF"
"114","GO:0140110","transcription regulator activity",499,13,11.93,1,"MF"
"115","GO:0016791","phosphatase activity",120,7,2.87,1,"MF"
"116","GO:0030246","carbohydrate binding",96,2,2.29,1,"MF"
"117","GO:0016407","acetyltransferase activity",37,2,0.88,1,"MF"
"118","GO:0016798","hydrolase activity, acting on glycosyl b...",137,3,3.27,1,"MF"
"119","GO:0016684","oxidoreductase activity, acting on perox...",54,3,1.29,1,"MF"
"120","GO:0000166","nucleotide binding",1064,21,25.43,1,"MF"
"121","GO:0098772","molecular function regulator activity",162,5,3.87,1,"MF"
"122","GO:0030234","enzyme regulator activity",143,4,3.42,1,"MF"
"123","GO:0015144","carbohydrate transmembrane transporter a...",31,2,0.74,1,"MF"
"124","GO:0001067","transcription regulatory region nucleic ...",226,3,5.4,1,"MF"
"125","GO:0016301","kinase activity",492,11,11.76,1,"MF"
"126","GO:1990837","sequence-specific double-stranded DNA bi...",229,3,5.47,1,"MF"
"127","GO:0046914","transition metal ion binding",308,8,7.36,1,"MF"
"128","GO:0030695","GTPase regulator activity",53,2,1.27,1,"MF"
"129","GO:0019787","ubiquitin-like protein transferase activ...",155,2,3.71,1,"MF"
"130","GO:0060589","nucleoside-triphosphatase regulator acti...",53,2,1.27,1,"MF"
"131","GO:0016765","transferase activity, transferring alkyl...",53,4,1.27,1,"MF"
"132","GO:0015318","inorganic molecular entity transmembrane...",144,4,3.44,1,"MF"
"133","GO:0044877","protein-containing complex binding",122,3,2.92,1,"MF"
"134","GO:0022803","passive transmembrane transporter activi...",55,2,1.31,1,"MF"
"135","GO:0005840","ribosome",135,10,3.1,0.015,"CC"
"136","GO:0005886","plasma membrane",746,24,17.13,0.055,"CC"
"137","GO:0042651","thylakoid membrane",82,2,1.88,0.089,"CC"
"138","GO:0022626","cytosolic ribosome",53,4,1.22,0.128,"CC"
"139","GO:0005829","cytosol",545,19,12.52,0.135,"CC"
"140","GO:0022625","cytosolic large ribosomal subunit",31,2,0.71,0.158,"CC"
"141","GO:0015934","large ribosomal subunit",41,3,0.94,0.206,"CC"
"142","GO:0005634","nucleus",1848,43,42.44,0.25,"CC"
"143","GO:1990904","ribonucleoprotein complex",254,10,5.83,0.306,"CC"
"144","GO:0009505","plant-type cell wall",53,3,1.22,0.308,"CC"
"145","GO:0030136","clathrin-coated vesicle",31,2,0.71,0.325,"CC"
"146","GO:0005777","peroxisome",66,2,1.52,0.45,"CC"
"147","GO:0098552","side of membrane",70,2,1.61,0.481,"CC"
"148","GO:0005737","cytoplasm",2711,55,62.26,0.566,"CC"
"149","GO:0005576","extracellular region",332,7,7.62,0.597,"CC"
"150","GO:0005856","cytoskeleton",174,3,4,0.661,"CC"
"151","GO:0005874","microtubule",99,2,2.27,0.669,"CC"
"152","GO:0005730","nucleolus",118,2,2.71,0.76,"CC"
"153","GO:0016020","membrane",2336,50,53.65,0.765,"CC"
"154","GO:0009506","plasmodesma",121,2,2.78,0.772,"CC"
"155","GO:0005794","Golgi apparatus",366,6,8.41,0.79,"CC"
"156","GO:0000139","Golgi membrane",182,3,4.18,0.796,"CC"
"157","GO:0005739","mitochondrion",340,5,7.81,0.809,"CC"
"158","GO:0000785","chromatin",87,2,2,0.813,"CC"
"159","GO:0009536","plastid",611,7,14.03,0.832,"CC"
"160","GO:0009507","chloroplast",535,6,12.29,0.845,"CC"
"161","GO:0005654","nucleoplasm",147,2,3.38,0.897,"CC"
"162","GO:0005783","endoplasmic reticulum",320,2,7.35,0.996,"CC"
"163","GO:0032991","protein-containing complex",911,17,20.92,1,"CC"
"164","GO:0032993","protein-DNA complex",97,2,2.23,1,"CC"
"165","GO:0031981","nuclear lumen",261,3,5.99,1,"CC"
"166","GO:0031982","vesicle",242,4,5.56,1,"CC"
"167","GO:1902493","acetyltransferase complex",17,2,0.39,1,"CC"
"168","GO:1902494","catalytic complex",347,3,7.97,1,"CC"
"169","GO:0030054","cell junction",129,2,2.96,1,"CC"
"170","GO:0099080","supramolecular complex",135,2,3.1,1,"CC"
"171","GO:0044391","ribosomal subunit",63,4,1.45,1,"CC"
"172","GO:0099081","supramolecular polymer",106,2,2.43,1,"CC"
"173","GO:0043226","organelle",3592,72,82.5,1,"CC"
"174","GO:0043227","membrane-bounded organelle",3380,61,77.63,1,"CC"
"175","GO:0043228","non-membrane-bounded organelle",673,18,15.46,1,"CC"
"176","GO:0043229","intracellular organelle",3580,72,82.22,1,"CC"
"177","GO:0031974","membrane-enclosed lumen",338,4,7.76,1,"CC"
"178","GO:0055044","symplast",121,2,2.78,1,"CC"
"179","GO:0031975","envelope",341,2,7.83,1,"CC"
"180","GO:0031248","protein acetyltransferase complex",17,2,0.39,1,"CC"
"181","GO:0031410","cytoplasmic vesicle",227,4,5.21,1,"CC"
"182","GO:0030659","cytoplasmic vesicle membrane",107,2,2.46,1,"CC"
"183","GO:0042579","microbody",66,2,1.52,1,"CC"
"184","GO:0140535","intracellular protein-containing complex",187,3,4.29,1,"CC"
"185","GO:0030312","external encapsulating structure",66,4,1.52,1,"CC"
"186","GO:0098588","bounding membrane of organelle",472,6,10.84,1,"CC"
"187","GO:0030135","coated vesicle",49,2,1.13,1,"CC"
"188","GO:0070161","anchoring junction",121,2,2.78,1,"CC"
"189","GO:0009579","thylakoid",98,2,2.25,1,"CC"
"190","GO:0071944","cell periphery",822,25,18.88,1,"CC"
"191","GO:0070013","intracellular organelle lumen",338,4,7.76,1,"CC"
"192","GO:0043231","intracellular membrane-bounded organelle",3366,61,77.31,1,"CC"
"193","GO:0015630","microtubule cytoskeleton",126,2,2.89,1,"CC"
"194","GO:0043232","intracellular non-membrane-bounded organ...",673,18,15.46,1,"CC"
"195","GO:0043233","organelle lumen",338,4,7.76,1,"CC"
"196","GO:0005911","cell-cell junction",121,2,2.78,1,"CC"
"197","GO:1990234","transferase complex",181,3,4.16,1,"CC"
"198","GO:0110165","cellular anatomical entity",5268,121,120.99,1,"CC"
"199","GO:0034357","photosynthetic membrane",83,2,1.91,1,"CC"
"200","GO:0031090","organelle membrane",795,7,18.26,1,"CC"
"201","GO:0005575","cellular_component",5312,122,122,1,"CC"
"202","GO:0005622","intracellular anatomical structure",4016,86,92.23,1,"CC"
"203","GO:0099512","supramolecular fiber",106,2,2.43,1,"CC"
"204","GO:0099513","polymeric cytoskeletal fiber",101,2,2.32,1,"CC"
"205","GO:0012505","endomembrane system",726,8,16.67,1,"CC"
"206","GO:0012506","vesicle membrane",108,2,2.48,1,"CC"
"207","GO:0005618","cell wall",56,4,1.29,1,"CC"
"208","GO:0005694","chromosome",136,2,3.12,1,"CC"
"209","GO:0031967","organelle envelope",341,2,7.83,1,"CC"
"210","GO:0097708","intracellular vesicle",229,4,5.26,1,"CC"
