"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"GO:0071365"	"cellular response to auxin stimulus"	"188"	"40"	"31.3"	"0.00239"
"GO:0015793"	"glycerol transmembrane transport"	"10"	"6"	"1.67"	"0.00241"
"GO:0034219"	"carbohydrate transmembrane transport"	"54"	"20"	"8.99"	"0.00275"
"GO:0010597"	"green leaf volatile biosynthetic process"	"20"	"9"	"3.33"	"0.00280"
"GO:0009611"	"response to wounding"	"76"	"23"	"12.66"	"0.00297"
"GO:0009651"	"response to salt stress"	"259"	"60"	"43.13"	"0.00375"
"GO:0009737"	"response to abscisic acid"	"326"	"84"	"54.28"	"0.00431"
"GO:0009408"	"response to heat"	"156"	"41"	"25.98"	"0.00451"
"GO:0005992"	"trehalose biosynthetic process"	"11"	"6"	"1.83"	"0.00457"
"GO:0006559"	"L-phenylalanine catabolic process"	"8"	"5"	"1.33"	"0.00458"
"GO:0019632"	"shikimate metabolic process"	"3"	"3"	"0.5"	"0.00461"
"GO:0015746"	"citrate transport"	"3"	"3"	"0.5"	"0.00461"
"GO:0048838"	"release of seed from dormancy"	"3"	"3"	"0.5"	"0.00461"
"GO:1902039"	"negative regulation of seed dormancy process"	"3"	"3"	"0.5"	"0.00461"
"GO:0031347"	"regulation of defense response"	"200"	"36"	"33.3"	"0.00500"
"GO:0010029"	"regulation of seed germination"	"55"	"20"	"9.16"	"0.00649"
"GO:0045493"	"xylan catabolic process"	"19"	"8"	"3.16"	"0.00780"
"GO:0009938"	"negative regulation of gibberellic acid mediated signaling pathway"	"6"	"4"	"1"	"0.00866"
"GO:0000160"	"phosphorelay signal transduction system"	"145"	"33"	"24.14"	"0.00866"
"GO:0002181"	"cytoplasmic translation"	"43"	"11"	"7.16"	"0.00888"
"GO:0019252"	"starch biosynthetic process"	"30"	"12"	"5"	"0.01154"
"GO:0000272"	"polysaccharide catabolic process"	"132"	"28"	"21.98"	"0.01157"
"GO:0019253"	"reductive pentose-phosphate cycle"	"14"	"7"	"2.33"	"0.01253"
"GO:0009723"	"response to ethylene"	"164"	"38"	"27.31"	"0.01269"
"GO:0009738"	"abscisic acid-activated signaling pathway"	"180"	"44"	"29.97"	"0.01325"
"GO:0010030"	"positive regulation of seed germination"	"21"	"8"	"3.5"	"0.01540"
"GO:0006656"	"phosphatidylcholine biosynthetic process"	"13"	"8"	"2.16"	"0.01606"
"GO:0045337"	"farnesyl diphosphate biosynthetic process"	"6"	"4"	"1"	"0.01613"
"GO:0010888"	"negative regulation of lipid storage"	"4"	"3"	"0.67"	"0.01614"
"GO:0033384"	"geranyl diphosphate biosynthetic process"	"4"	"3"	"0.67"	"0.01614"
"GO:0009800"	"cinnamic acid biosynthetic process"	"4"	"3"	"0.67"	"0.01614"
"GO:0055129"	"L-proline biosynthetic process"	"4"	"3"	"0.67"	"0.01614"
"GO:0090332"	"stomatal closure"	"30"	"7"	"5"	"0.01615"
"GO:0051156"	"glucose 6-phosphate metabolic process"	"29"	"8"	"4.83"	"0.01753"
"GO:0010311"	"lateral root formation"	"34"	"11"	"5.66"	"0.01837"
"GO:0048268"	"clathrin coat assembly"	"14"	"6"	"2.33"	"0.01893"
"GO:0050832"	"defense response to fungus"	"188"	"38"	"31.3"	"0.01973"
"GO:1990937"	"xylan acetylation"	"22"	"8"	"3.66"	"0.02075"
"GO:0009653"	"anatomical structure morphogenesis"	"612"	"83"	"101.91"	"0.02189"
"GO:0016036"	"cellular response to phosphate starvation"	"38"	"12"	"6.33"	"0.02283"
"GO:0008203"	"cholesterol metabolic process"	"16"	"8"	"2.66"	"0.02425"
"GO:0006730"	"one-carbon metabolic process"	"20"	"8"	"3.33"	"0.02428"
"GO:0019748"	"secondary metabolic process"	"206"	"50"	"34.3"	"0.02732"
"GO:0006865"	"amino acid transport"	"70"	"19"	"11.66"	"0.02789"
"GO:0009742"	"brassinosteroid mediated signaling pathway"	"88"	"19"	"14.65"	"0.03007"
"GO:0009753"	"response to jasmonic acid"	"99"	"30"	"16.48"	"0.03017"
"GO:0001678"	"intracellular glucose homeostasis"	"12"	"5"	"2"	"0.03050"
"GO:1903602"	"thermospermine catabolic process"	"8"	"4"	"1.33"	"0.03051"
"GO:0010345"	"suberin biosynthetic process"	"8"	"4"	"1.33"	"0.03051"
"GO:0006116"	"NADH oxidation"	"8"	"4"	"1.33"	"0.03051"
"GO:0006657"	"CDP-choline pathway"	"8"	"4"	"1.33"	"0.03051"
"GO:0009862"	"systemic acquired resistance, salicylic acid mediated signaling pathway"	"8"	"4"	"1.33"	"0.03051"
"GO:0046208"	"spermine catabolic process"	"8"	"4"	"1.33"	"0.03051"
"GO:0016135"	"saponin biosynthetic process"	"8"	"4"	"1.33"	"0.03051"
"GO:0019375"	"galactolipid biosynthetic process"	"8"	"4"	"1.33"	"0.03051"
"GO:0009688"	"abscisic acid biosynthetic process"	"15"	"5"	"2.5"	"0.03052"
"GO:0009789"	"positive regulation of abscisic acid-activated signaling pathway"	"32"	"10"	"5.33"	"0.03053"
"GO:0009694"	"jasmonic acid metabolic process"	"20"	"5"	"3.33"	"0.03057"
"GO:0034440"	"lipid oxidation"	"40"	"6"	"6.66"	"0.03069"
"GO:0042742"	"defense response to bacterium"	"213"	"46"	"35.47"	"0.03341"
"GO:0009409"	"response to cold"	"173"	"44"	"28.81"	"0.03516"
"GO:0006177"	"GMP biosynthetic process"	"5"	"3"	"0.83"	"0.03537"
"GO:0006751"	"glutathione catabolic process"	"5"	"3"	"0.83"	"0.03537"
